"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2026.06.26	10:35:00	5287.693	5288.693	5284.193	5286.693	7990	35442	1"
"2026.06.26	10:40:00	5286.693	5289.193	5284.693	5287.693	5502	20776	1"
"2026.06.26	10:45:00	5287.693	5293.693	5287.693	5293.193	8011	31791	1"
"2026.06.26	10:50:00	5292.693	5294.193	5290.193	5291.193	5685	22794	1"
"2026.06.26	10:55:00	5290.693	5292.693	5286.193	5286.693	7035	36557	1"
"2026.06.26	11:00:00	5286.693	5287.693	5284.193	5285.693	5606	23770	1"
"2026.06.26	11:05:00	5286.193	5286.693	5282.693	5283.193	6087	21607	1"
"2026.06.26	11:10:00	5282.693	5286.193	5282.193	5284.193	5237	18029	1"
"2026.06.26	11:15:00	5284.193	5285.193	5275.193	5277.193	12470	54073	1"
"2026.06.26	11:20:00	5276.693	5280.693	5273.193	5280.193	9171	38814	1"
"2026.06.26	11:25:00	5280.193	5281.693	5275.193	5280.693	7835	30482	1"
"2026.06.26	11:30:00	5280.193	5283.693	5278.193	5282.693	6308	22577	1"
"2026.06.26	11:35:00	5282.693	5284.693	5278.693	5280.193	6061	22471	1"
"2026.06.26	11:40:00	5279.693	5282.693	5278.193	5278.693	5080	19131	1"
"2026.06.26	11:45:00	5279.193	5281.693	5277.193	5279.693	7049	25812	1"
"2026.06.26	11:50:00	5279.693	5285.693	5278.693	5284.693	6351	20958	1"
"2026.06.26	11:55:00	5285.193	5288.693	5284.193	5287.193	6879	29724	1"
"2026.06.26	12:00:00	5287.693	5288.693	5285.193	5287.193	5257	23632	1"
"2026.06.26	12:05:00	5287.693	5289.693	5282.693	5284.193	6978	29868	1"
"2026.06.26	12:10:00	5284.693	5285.193	5279.193	5280.693	5640	25195	1"
"2026.06.26	12:15:00	5280.193	5281.193	5277.693	5278.693	3848	22050	1"
"2026.06.26	12:20:00	5278.193	5279.693	5275.693	5278.693	4212	19991	1"
"2026.06.26	12:25:00	5278.693	5279.193	5274.693	5275.193	2988	8216	1"
"2026.06.26	12:30:00	5274.693	5275.693	5271.193	5275.193	7792	36029	1"
"2026.06.26	12:35:00	5275.193	5276.193	5272.693	5274.193	3088	17443	1"
"2026.06.26	12:40:00	5274.193	5275.693	5272.693	5274.693	3084	17300	1"
"2026.06.26	12:45:00	5275.193	5277.193	5274.693	5275.693	2496	9188	1"
"2026.06.26	12:50:00	5276.193	5282.693	5275.693	5282.693	8706	35801	1"
"2026.06.26	12:55:00	5282.693	5282.693	5274.193	5274.693	6832	27406	1"
"2026.06.26	13:00:00	5274.693	5275.693	5273.193	5274.693	3140	15884	1"
"2026.06.26	13:05:00	5274.693	5275.193	5274.193	5274.693	1585	5560	1"
"2026.06.26	13:10:00	5274.193	5275.193	5273.693	5274.193	1527	4828	1"
"2026.06.26	13:15:00	5274.193	5276.693	5273.693	5276.693	2353	8885	1"
"2026.06.26	13:20:00	5276.193	5279.193	5276.193	5277.693	4224	13933	1"
"2026.06.26	13:25:00	5277.693	5278.193	5276.193	5277.693	2561	8378	1"
"2026.06.26	13:30:00	5278.193	5278.693	5275.193	5277.693	2457	8610	1"
"2026.06.26	13:35:00	5277.693	5281.693	5277.193	5280.693	4221	20043	1"
"2026.06.26	13:40:00	5281.193	5283.193	5279.193	5282.193	3307	13985	1"
"2026.06.26	13:45:00	5282.193	5287.193	5281.193	5285.693	7205	31550	1"
"2026.06.26	13:50:00	5285.193	5285.693	5283.693	5284.693	1808	8553	1"
"2026.06.26	13:55:00	5284.193	5284.693	5282.193	5282.693	1665	6083	1"
"2026.06.26	14:00:00	5282.693	5283.693	5279.193	5280.693	3539	16015	1"
"2026.06.26	14:05:00	5281.193	5281.193	5278.693	5279.193	1615	4801	1"
"2026.06.26	14:10:00	5278.693	5280.193	5278.193	5279.693	1902	5841	1"
"2026.06.26	14:15:00	5279.693	5281.193	5279.193	5280.693	1438	4417	1"
"2026.06.26	14:20:00	5280.693	5281.193	5277.193	5278.693	2914	11765	1"
"2026.06.26	14:25:00	5278.693	5282.193	5278.693	5280.693	2531	9799	1"
"2026.06.26	14:30:00	5280.693	5283.693	5279.193	5283.193	3223	13813	1"
"2026.06.26	14:35:00	5282.693	5285.193	5282.693	5284.693	3246	10269	1"
"2026.06.26	14:40:00	5284.693	5285.693	5281.693	5282.693	2621	10573	1"
"2026.06.26	14:45:00	5282.693	5285.193	5281.693	5285.193	1614	5635	1"
"2026.06.26	14:50:00	5284.693	5285.693	5284.193	5285.193	1581	6171	1"
"2026.06.26	14:55:00	5284.693	5285.693	5284.193	5284.193	1230	4237	1"
"2026.06.26	15:00:00	5284.193	5285.193	5282.693	5282.693	1860	4648	1"
"2026.06.26	15:05:00	5282.693	5284.693	5282.693	5284.693	1308	3916	1"
"2026.06.26	15:10:00	5284.693	5284.693	5282.193	5283.193	1771	8680	1"
"2026.06.26	15:15:00	5282.693	5285.193	5282.193	5285.193	1993	6357	1"
"2026.06.26	15:20:00	5284.693	5285.693	5282.693	5282.693	1941	7329	1"
"2026.06.26	15:25:00	5282.693	5288.193	5282.693	5286.693	3778	19614	1"
"2026.06.26	15:30:00	5287.193	5288.693	5286.193	5288.193	2727	12007	1"
"2026.06.26	15:35:00	5288.193	5288.693	5287.693	5288.193	1546	6274	1"
"2026.06.26	15:40:00	5288.193	5289.693	5284.193	5285.193	3275	16019	1"
"2026.06.26	15:45:00	5285.193	5287.193	5284.693	5286.193	1720	7638	1"
"2026.06.26	15:50:00	5286.193	5286.693	5283.693	5284.193	4626	13678	1"
"2026.06.26	15:55:00	5284.193	5286.693	5283.693	5284.693	5349	18304	1"
"2026.06.26	16:00:00	5284.693	5287.693	5284.193	5287.693	1503	6988	1"
"2026.06.26	16:05:00	5287.193	5288.193	5286.693	5287.193	1807	5674	1"
"2026.06.26	16:10:00	5287.193	5287.693	5285.693	5286.193	1733	9017	1"
"2026.06.26	16:15:00	5286.193	5287.193	5285.193	5286.193	1216	4374	1"
"2026.06.26	16:20:00	5285.693	5287.693	5285.693	5286.693	1799	7011	1"
"2026.06.26	16:25:00	5286.693	5287.193	5285.193	5285.693	1259	4489	1"
"2026.06.26	16:30:00	5285.693	5286.193	5282.193	5283.193	4083	22040	1"
"2026.06.26	16:35:00	5283.693	5285.693	5281.693	5285.193	3232	16515	1"
"2026.06.26	16:40:00	5284.693	5285.693	5282.193	5283.693	2579	13354	1"
"2026.06.26	16:45:00	5284.193	5284.193	5282.693	5282.693	1822	6870	1"
"2026.06.26	16:50:00	5282.693	5283.693	5282.193	5282.693	2389	7542	1"
"2026.06.26	16:55:00	5283.193	5284.193	5282.193	5283.693	2785	13552	1"
"2026.06.26	17:00:00	5283.693	5283.693	5281.693	5282.693	3031	11977	1"
"2026.06.26	17:05:00	5282.693	5284.693	5282.193	5284.193	1814	8696	1"
"2026.06.26	17:10:00	5284.193	5287.693	5283.693	5286.193	2349	16587	1"
"2026.06.26	17:15:00	5286.193	5287.693	5286.193	5286.693	783	4515	1"
"2026.06.26	17:20:00	5286.693	5287.193	5283.193	5283.193	1661	10587	1"
"2026.06.26	17:25:00	5283.693	5285.693	5282.693	5284.693	1454	7613	1"
"2026.06.26	17:30:00	5284.693	5290.193	5284.193	5289.693	2752	12825	1"
"2026.06.26	17:35:00	5289.693	5290.693	5287.693	5288.693	1569	6510	1"
"2026.06.26	17:40:00	5289.193	5289.193	5286.693	5287.693	812	3357	1"
"2026.06.26	17:45:00	5287.693	5289.193	5286.693	5288.693	964	4457	1"
"2026.06.26	17:50:00	5288.193	5289.193	5287.193	5287.693	526	2469	1"
"2026.06.26	17:55:00	5288.193	5288.193	5286.693	5287.193	537	2560	1"
"2026.06.26	18:00:00	5286.693	5288.693	5286.193	5287.693	429	1615	1"
"2026.06.26	18:05:00	5287.193	5288.693	5287.193	5288.693	441	2406	1"
"2026.06.26	18:10:00	5288.193	5289.693	5288.193	5289.193	436	1951	1"
"2026.06.26	18:15:00	5289.193	5290.193	5287.693	5289.193	618	4332	1"
"2026.06.26	18:20:00	5289.193	5289.693	5285.193	5287.693	787	4676	1"
"2026.06.26	18:25:00	5287.193	5290.693	5286.693	5290.693	783	4218	1"
"2026.06.29	09:00:00	5278.786	5279.808	5265.722	5276.222	18558	63008	1"
"2026.06.29	09:05:00	5276.222	5281.222	5273.722	5277.222	11472	42698	1"
"2026.06.29	09:10:00	5276.722	5279.222	5274.722	5277.722	4556	14156	1"
"2026.06.29	09:15:00	5277.722	5279.222	5275.222	5276.722	6400	26982	1"
"2026.06.29	09:20:00	5277.222	5282.722	5275.722	5281.222	8408	32190	1"
"2026.06.29	09:25:00	5281.722	5282.722	5278.222	5278.722	5494	23012	1"
"2026.06.29	09:30:00	5279.222	5285.722	5278.222	5282.722	9431	37565	1"
"2026.06.29	09:35:00	5282.722	5291.222	5282.222	5289.222	11446	40362	1"
"2026.06.29	09:40:00	5289.222	5292.222	5287.722	5289.722	6016	24169	1"
"2026.06.29	09:45:00	5289.222	5289.722	5283.722	5285.222	5564	22019	1"
"2026.06.29	09:50:00	5284.722	5285.722	5283.222	5285.222	3703	18674	1"
"2026.06.29	09:55:00	5285.222	5285.222	5274.722	5274.722	12250	56312	1"
"2026.06.29	10:00:00	5275.222	5277.222	5273.222	5274.722	7395	37610	1"
"2026.06.29	10:05:00	5275.222	5277.222	5273.222	5274.222	4640	23327	1"
"2026.06.29	10:10:00	5274.222	5281.222	5273.722	5280.222	8071	33101	1"
"2026.06.29	10:15:00	5280.222	5282.222	5278.222	5282.222	5754	20413	1"
"2026.06.29	10:20:00	5281.722	5283.222	5280.722	5283.222	5367	17889	1"
"2026.06.29	10:25:00	5283.722	5285.222	5280.722	5282.722	5971	21995	1"
"2026.06.29	10:30:00	5282.722	5284.722	5281.722	5283.222	6640	21669	1"
"2026.06.29	10:35:00	5283.722	5287.722	5282.222	5283.222	9743	36954	1"
"2026.06.29	10:40:00	5283.222	5283.722	5280.222	5282.222	5414	20432	1"
"2026.06.29	10:45:00	5282.222	5284.722	5281.222	5283.222	4190	14024	1"
"2026.06.29	10:50:00	5283.722	5285.222	5280.722	5282.222	4973	19490	1"
"2026.06.29	10:55:00	5281.722	5285.222	5280.722	5283.222	4907	17634	1"
"2026.06.29	11:00:00	5283.222	5285.722	5282.222	5283.722	7413	29557	1"
"2026.06.29	11:05:00	5284.222	5290.722	5283.722	5287.222	10971	39426	1"
"2026.06.29	11:10:00	5287.222	5293.722	5286.222	5293.722	8709	27594	1"
"2026.06.29	11:15:00	5293.222	5298.222	5291.722	5291.722	14929	61567	1"
"2026.06.29	11:20:00	5292.222	5293.722	5289.222	5291.222	7746	25550	1"
"2026.06.29	11:25:00	5291.722	5292.722	5289.222	5290.722	4368	15572	1"
"2026.06.29	11:30:00	5291.222	5295.222	5289.722	5294.722	4904	18001	1"
"2026.06.29	11:35:00	5295.222	5298.722	5294.222	5297.722	6238	18433	1"
"2026.06.29	11:40:00	5297.222	5298.222	5292.722	5295.722	5322	17957	1"
"2026.06.29	11:45:00	5296.222	5297.722	5292.722	5293.222	5389	21690	1"
"2026.06.29	11:50:00	5293.222	5296.222	5291.722	5291.722	4860	21261	1"
"2026.06.29	11:55:00	5291.722	5294.222	5290.722	5291.722	6946	26919	1"
"2026.06.29	12:00:00	5292.222	5292.222	5288.722	5289.222	6347	27736	1"
"2026.06.29	12:05:00	5289.722	5290.222	5287.222	5289.722	4973	21620	1"
"2026.06.29	12:10:00	5289.722	5293.222	5289.222	5290.222	5708	28954	1"
"2026.06.29	12:15:00	5290.722	5291.222	5288.722	5290.722	2617	39935	1"
"2026.06.29	12:20:00	5290.222	5297.222	5290.222	5296.222	6430	26069	1"
"2026.06.29	12:25:00	5296.222	5297.222	5293.222	5295.222	3768	16389	1"
"2026.06.29	12:30:00	5295.722	5297.222	5293.722	5296.722	2343	7151	1"
"2026.06.29	12:35:00	5297.222	5297.722	5294.222	5294.722	2535	8276	1"
"2026.06.29	12:40:00	5295.222	5295.722	5292.722	5293.222	2630	8301	1"
"2026.06.29	12:45:00	5293.722	5296.222	5292.722	5296.222	3036	13630	1"
"2026.06.29	12:50:00	5295.722	5296.722	5294.722	5295.222	2200	8952	1"
"2026.06.29	12:55:00	5294.722	5296.722	5292.722	5292.722	2407	9179	1"
"2026.06.29	13:00:00	5293.222	5293.722	5288.722	5290.222	5824	30772	1"
"2026.06.29	13:05:00	5290.222	5290.722	5288.722	5289.222	2691	10402	1"
"2026.06.29	13:10:00	5289.222	5289.222	5287.222	5288.222	2699	10245	1"
"2026.06.29	13:15:00	5288.222	5291.722	5287.722	5291.222	2941	13194	1"
"2026.06.29	13:20:00	5291.222	5294.222	5290.722	5294.222	2859	12403	1"
"2026.06.29	13:25:00	5294.222	5295.722	5293.722	5294.222	2000	6562	1"
"2026.06.29	13:30:00	5294.222	5294.722	5292.722	5293.222	1843	7373	1"
"2026.06.29	13:35:00	5293.222	5293.222	5290.722	5291.222	2190	8441	1"
"2026.06.29	13:40:00	5291.222	5292.722	5290.222	5290.222	1385	5164	1"
"2026.06.29	13:45:00	5290.722	5290.722	5286.222	5288.222	3220	11905	1"
"2026.06.29	13:50:00	5288.222	5289.222	5286.722	5289.222	1939	5756	1"
"2026.06.29	13:55:00	5289.222	5292.222	5288.722	5289.222	2620	7826	1"
"2026.06.29	14:00:00	5289.222	5290.222	5287.222	5287.222	2030	9795	1"
"2026.06.29	14:05:00	5287.722	5288.222	5286.222	5287.722	1130	3619	1"
"2026.06.29	14:10:00	5287.722	5288.222	5286.722	5287.222	1157	4160	1"
"2026.06.29	14:15:00	5287.222	5289.222	5287.222	5289.222	943	2122	1"
"2026.06.29	14:20:00	5289.222	5291.222	5288.722	5289.722	1434	4527	1"
"2026.06.29	14:25:00	5289.222	5290.222	5288.222	5289.222	1553	5245	1"
"2026.06.29	14:30:00	5289.722	5290.722	5289.222	5290.222	826	3042	1"
"2026.06.29	14:35:00	5290.222	5290.222	5287.722	5288.222	1573	3971	1"
"2026.06.29	14:40:00	5288.722	5289.222	5288.222	5288.222	405	820	1"
"2026.06.29	14:45:00	5288.722	5289.722	5287.722	5288.222	913	1809	1"
"2026.06.29	14:50:00	5288.222	5288.722	5286.222	5287.222	1722	8115	1"
"2026.06.29	14:55:00	5287.222	5287.222	5285.722	5285.722	1679	6273	1"
"2026.06.29	15:00:00	5286.222	5286.722	5285.222	5285.222	2116	9392	1"
